"V1","V2","V3"
"Randfontein","Gauteng",0.10374
"Metsimaholo","Free State",0.10179
"Fetakgomo","Limpopo",0.1014
"Victor Khanye","Mpumalanga",0.09477
"Musina","Limpopo",0.09438
"Masilonyana","Free State",0.09399
"Kgetlengrivier","North West",0.08541
"Ntambanana","KwaZulu-Natal",0.08268
"Overstrand","Western Cape",0.08151
"eDumbe","KwaZulu-Natal",0.07761
"Saldanha Bay","Western Cape",0.07683
"Witzenberg","Western Cape",0.07605
"Endumeni","KwaZulu-Natal",0.07566
"Maphumulo","KwaZulu-Natal",0.07449
"uMngeni","KwaZulu-Natal",0.07176
"Maquassi Hills","North West",0.07137
"Nala","Free State",0.06903
"Hlabisa","KwaZulu-Natal",0.06513
"Ngqushwa","Eastern Cape",0.06435
"Great Kei","Eastern Cape",0.06162
"Makana","Eastern Cape",0.06045
"Langeberg","Western Cape",0.06045
"Kouga","Eastern Cape",0.05928
"Inxuba Yethemba","Eastern Cape",0.05655
"Matzikama","Western Cape",0.0546
"Modimolle","Limpopo",0.05382
"uMshwathi","KwaZulu-Natal",0.05343
"Mamusa","North West",0.05031
"Ventersdorp","North West",0.04953
"Dikgatlong","Northern Cape",0.04641
"Nketoana","Free State",0.04446
"Ndlambe","Eastern Cape",0.04368
"Sakhisizwe","Eastern Cape",0.04329
"Sundays River Valley","Eastern Cape",0.04173
"Emadlangeni","KwaZulu-Natal",0.04173
"Mantsopa","Free State",0.03861
"Lekwa-Teemane","North West",0.03783
"Emakhazeni","Mpumalanga",0.03783
"Mkhambathini","KwaZulu-Natal",0.03744
"Hessequa","Western Cape",0.03744
"Mafube","Free State",0.03705
"Beaufort West","Western Cape",0.03666
"Vulamehlo","KwaZulu-Natal",0.0351
"Tsantsabane","Northern Cape",0.03471
"Bergrivier","Western Cape",0.03393
"Tswelopele","Free State",0.03354
"Bela-Bela","Limpopo",0.03315
"Camdeboo","Eastern Cape",0.03237
"Maletswai","Eastern Cape",0.03159
"Cederberg","Western Cape",0.03042
"Ezingoleni","KwaZulu-Natal",0.02964
"The Big 5 False Bay","KwaZulu-Natal",0.02847
"Richmond","KwaZulu-Natal",0.02808
"Mthonjaneni","KwaZulu-Natal",0.02808
"Dipaleseng","Mpumalanga",0.02574
"Nama Khoi","Northern Cape",0.02535
"Kopanong","Free State",0.02535
"Swellendam","Western Cape",0.02457
"Emthanjeni","Northern Cape",0.02457
"Letsemeng","Free State",0.02379
"Siyancuma","Northern Cape",0.02028
"Mpofana","KwaZulu-Natal",0.02028
"Phumelela","Free State",0.0195
"Blue Crane Route","Eastern Cape",0.01911
"Mohokare","Free State",0.01833
"Tokologo","Free State",0.01794
"Gariep","Eastern Cape",0.01755
"Tsolwana","Eastern Cape",0.01716
"Impendle","KwaZulu-Natal",0.01677
"Mookgopong","Limpopo",0.01599
"Cape Agulhas","Western Cape",0.01482
"Magareng","Northern Cape",0.01443
"Umsobomvu","Northern Cape",0.01404
"Kgatelopele","Northern Cape",0.01131
"Naledi.fs","Free State",0.01092
"Inkwanca","Eastern Cape",0.01053
"Ubuntu","Northern Cape",0.00975
"Siyathemba","Northern Cape",0.00975
"Nxuba","Eastern Cape",0.00936
"Kannaland","Western Cape",0.00741
"!Kheis","Northern Cape",0.00702
"Richtersveld","Northern Cape",0.00663
"Hantam","Northern Cape",0.00663
"Baviaans","Eastern Cape",0.00663
"Thembelihle","Northern Cape",0.00546
"Kwa Sani","KwaZulu-Natal",0.00507
"Kareeberg","Northern Cape",0.00468
"Renosterberg","Northern Cape",0.00429
"Karoo Hoogland","Northern Cape",0.0039
"Mier","Northern Cape",0.00312
"Kamiesberg","Northern Cape",0.00312
"Khâi-Ma","Northern Cape",0.00273
"Laingsburg","Western Cape",0.00195
"Ikwezi","Eastern Cape",0.00195
"Prince Albert","Western Cape",0.00156
